original,translation
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",¿Está seguro de que desea eliminar\n{}?\n\n(+) - SÍ  B - Cancelar
Выберите пользователя,Seleccionar usuario
Выберите тип сохранения,Seleccionar tipo de guardado
Выбрать все файлы игры,Seleccionar todos los archivos del juego
Выбрать того же пользователя,Seleccionar el mismo usuario
Выбрать ту же игру,Seleccionar el mismo juego
Выйти из DBI            :,Salir de DBI                  :
Выключать экран,Apagar pantalla
Выключить экран         :,Apagar pantalla               :
 Запуск игры, Iniciando juego
Вырезать,Cortar
Выход на рабочий стол,Salir al menú HOME
Вычисление хэша,Calculando hash
Вычисленное время конца : {},Tiempo de finalización calculado : {}
Вычисленное время начала: {},Hora de inicio calculada: {}
Генерация DLC [{:016X}][v{}],Generando DLC [{:016X}][v{}]
Генерация DLC анлокера...,Generando desbloqueador de DLC...
Генерируется анлокер для {:016X} с номером {} и версией {}...,Generando desbloqueador para {:016X} con número {} y versión {}...
Генерируется ярлык для пути '{}' и аргументов '{}'...,Generando acceso directo para la ruta '{}' y argumentos '{}'...
 Логаут пользователя \x1b[36;1m{}\x1b[37;1m, Cerrando sesión del usuario \x1b[36;1m{}\x1b[37;1m
Главное меню,Menú principal
Голландский,Neerlandés
"Да, я уверен","Sí, estoy seguro"
Дамп анлокера в '{}'...,Volcando desbloqueador en '{}'...
Дамп текущей прошивки,Volcar firmware actual
Дамп ярлыка в '{}'...,Volcando acceso directo en '{}'...
Дата первого игрового события : {},Fecha del primer evento de juego  : {}
Действия с файлами,Operaciones de archivos
Действия с файлами ({}),Acciones de archivo ({})
 Логин пользователя \x1b[36;1m{}\x1b[37;1m, Nombre de usuario \x1b[36;1m{}\x1b[37;1m
Декабрь,Diciembre
День,Día
Диаграмма активности,Gráfico de actividad
Для бекапов,Para copias de seguridad
Для выхода нажмите любую кнопку,Pulsa cualquier botón para salir
Для дампов,Para volcados
Для логов,Para registros
Добавить в любимые,Añadir a favoritos
Добавлять суффикс к имени файла,Añadir sufijo al nombre de archivo
Достаточное питание            : {},Alimentación suficiente               : {}
 Переключение на игру, Cambiando al juego
Европа,Europa
Есть исправление RCM бага    : {},Corrección de bug RCM presente : {}
"Есть несохранёные изменения.\nВы хотите их сохранить?\n\n(+) - Да, сохранить\n\n(-) - Выйти без сохранения\n\nДругая кнопка - Отмена","Hay cambios sin guardar.\n¿Desea guardarlos?\n\n(+) - Sí, guardar\n\n(-) - Salir sin guardar\n\nOtro botón - Cancelar"
Желаемая версия: {},Versión deseada: {}
Журнал активности,Registro de actividad
Журналирование действий,Registro de acciones
Завершено,Completado
Загружается список обновлений...,Cargando lista de actualizaciones...
Загружено ,Cargado 
Загрузка изображения...,Cargando imagen...
 Режим работы изменился: {}, Modo de operación cambiado: {}
Загрузка текста...{}%,Cargando texto...{}%
Загрузка файла... {}%,Cargando archivo... {}%
Задать размер файла {} не удалось: {},No se pudo establecer el tamaño del archivo {}: {}
Закладки на SD,Marcadores en SD
Закончено за {:02d}:{:02d}:{:02d},Completado en {:02d}:{:02d}:{:02d}
Закончилась память при посылке ответа,Memoria agotada al enviar respuesta
Закончились дополнительные буферы. Скорость записи на носитель слишком низка,Búferes adicionales agotados. La velocidad de escritura en el almacenamiento es demasiado baja
Закрытие соединения,Cerrando conexión
Закрытие соединения к {}:{},Cerrando conexión a {}:{}
 Сброс системных часов, Restablecer reloj del sistema
Запаковать LFS в romfs.bin,Empaquetar LFS en romfs.bin
Запаковать в romfs.bin,Empaquetar en romfs.bin
Запаковка папки в RomFS,Empaquetando carpeta en RomFS
Записанное время конца  : {},Hora de finalización registrada  : {}
Записанное время начала : {},Hora de inicio registrada : {}
Запись в CAL0 разрешена      : {},Escritura en CAL0 permitida    : {}
Запись в файл...,Escribiendo en archivo...
Запись за пределами файла,Escritura más allá del archivo
Заполнение нулями,Rellenar con ceros
Заполнить свободное место на SD нулями,Rellenar espacio libre en SD con ceros
 Сворачивание игры, Suspendiendo juego
Запрет захвата видео,Prohibir captura de vídeo
Запрет скриншотов,Prohibición de capturas
Запрещено,Prohibido
Запрос на удаление ,Solicitud de eliminación 
Запускавшиеся игры,Juegos ejecutados
Запускать точку доступа,Iniciar punto de acceso
Запустить FTP сервер,Iniciar servidor FTP
Запустить FTP сервер...,Iniciar servidor FTP...
Запустить HTTP сервер,Iniciar servidor HTTP
Запустить HTTP сервер...,Iniciando servidor HTTP...
 Состояние электропитания изменилось: {}, Estado de alimentación cambiado: {}
Запустить МТР соединение,Iniciar conexión MTP
Запустить случайную игру,Iniciar juego aleatorio
Заряд батареи                  : {},Carga de batería               : {}
Заряд батареи                  : {}%,Carga de batería                      : {}%
Заряд батареи (сырое значение) : {}%,Carga de batería (valor sin procesar) : {}%
Зарядка батареи                : {},Carga de batería                      : {}
Здесь пусто,Aquí no hay nada
Игра анонсирует SDK {},El juego anuncia SDK {}
" и {} новое DLC,"," y {} nuevo DLC,"
"Игра анонсирует более новый SDK ({}), чем текущая прошивка ({})",El juego requiere un SDK más nuevo ({}) que el firmware actual ({})
Игра использует titleId от дополнения,El juego usa el titleId del DLC
Игра использует titleId от обновления,El juego usa el titleId de la actualización
Извлечь в LFS,Extraer a LFS
Изменение размера сохранения на {} [{}]...,Cambiando tamaño de guardado a {} [{}]...
Изменить версию DLC (десятичную),Cambiar versión de DLC (decimal)
Изменить номер DLC (десятичный),Cambiar número de DLC (decimal)
Изменить номер DLC (шестнадцатеричный),Cambiar número de DLC (hexadecimal)
Изменён размер SaveFS,Tamaño de SaveFS modificado
" и {} новых DLC,"," y {} DLC nuevos,"
Импорт исправленного тикета...,Importando ticket corregido...
Импорт тикета...,Importando ticket...
Имя     : ,Nombre  : 
"Имя каталога\n'{}'\nсодержит недопустимые символы.\nОн не может быть создан.\n\nНажмите A - прервать, B - пропустить, X - переименовать","El nombre del directorio\n'{}'\ncontiene caracteres no válidos.\nNo se puede crear.\n\nPresione A - cancelar, B - omitir, X - renombrar"
"Имя файла\n'{}'\nсодержит недопустимые символы.\nОн не может быть создан.\n\nНажмите A - прервать, B - пропустить, X - переименовать","El nombre de archivo\n'{}'\ncontiene caracteres no válidos.\nNo se puede crear.\n\nPulsa A - cancelar, B - omitir, X - renombrar"
Инсталлируется romfs.bin,Instalando romfs.bin
Инструменты,Herramientas
Информация о зарядке батареи,Información de carga de la batería
Информация о контенте,Información del contenido
Информация о контенте ({}),Información del contenido ({})
 сортировка по дате создания, ordenar por fecha de creación
Информация о прошивке,Información del firmware
Информация о системе,Información del sistema
Информация о сохранении,Información de guardado
Информация о сохранении...,Información de guardado...
Информация о тикете,Información del ticket
Информация о тикете...,Información del ticket...
Информация об NSP,Información de NSP
Информация об атмосфере,Información de Atmosphere
Информация об игровой активности,Información de actividad de juego
Информация об источние питания,Información de la fuente de alimentación
 сортировка по имени, ordenar por nombre
Информация об оборудовании,Información del hardware
Информация...,Información...
Испанский,Español
Использовано дополнительной памяти: {}. Создано буферов: {},Memoria adicional utilizada: {}. Búferes creados: {}
Использовать 5 GHz,Usar 5 GHz
Использовать MSG_WAITALL в recv,Usar MSG_WAITALL en recv
Использовать для неё TitleID,Usar TitleID para ella
Использовать папку для...,Usar carpeta para...
Использовать разгон,Usar overclocking
Использовать скрытый SSID,Usar SSID oculto
 сортировка по имени игры, ordenar por nombre del juego
Используется ,Usado 
Используется USB{},Usando USB{}
Источник питания                 : {},Fuente de alimentación                   : {}
Итальянский,Italiano
Ищется control для ProgramId {},Buscando control para ProgramId {}
Ищется exefs/romfs для ProgramId {},Buscando exefs/romfs para ProgramId {}
Ищется exefs/romfs/logo для ProgramId {},Buscando exefs/romfs/logo para ProgramId {}
Ищется {},Buscando {}
 сортировка по месту установки, ordenar por ubicación de instalación
Июль,Julio
Июнь,Junio
Канадский французский,Francés canadiense
"Когда ваше устройство подключится, нажмите любую кнопку",Presiona cualquier botón cuando tu dispositivo se conecte
Код партии батареи    : {} ({}),Código de lote batería: {} ({})
Кодировка,Codificación
Конвертация в фейковые ,Conversión a falsos 
Конец игры            : -,Fin del juego         : -
Конец игры            : {},Fin del juego         : {}
 сортировка по общему размеру, ordenar por tamaño total
Контент уже на месте,El contenido ya está en su lugar
Копирование IVFC слой {} в nca: {},Copiando capa IVFC {} a nca: {}
Копирование PFS0 в nca,Copiando PFS0 a nca
Копирование PFS0 хэш таблицы в nca,Copiando tabla hash PFS0 a nca
Копирование SDK {} в файл: {}...,Copiando SDK {} al archivo: {}...
Копировать,Copiar
Корейский,Coreano
Корень не найден,Raíz no encontrada
Корень сохранения не существует,La raíz de guardado no existe
 сортировка по пользователю, ordenar por usuario
Корея,Corea
Курсор на обеих панелях,Cursor en ambos paneles
Латиноамериканский испанский,Español latinoamericano
Май,Mayo
Март,Marzo
Масштаб: По ширине,Escala: Ajustar al ancho
Масштаб: По экрану,Escala: Ajustar a pantalla
Масштаб: Точка в точку,Escala: Píxel perfecto
Масштаб: Увеличение x2,Escala: Ampliación x2
 сортировка по порядку игры, ordenar por orden del juego
Место в  NAND         : {},Espacio en NAND      : {}
Место на SD карте     : {},Espacio en tarjeta SD     : {}
Место на приставке не занято,No se ocupa espacio en la consola
Место установки         :,Ubicación de instalación      :
Мета контент отсутствует,Falta el contenido meta
Миссия провалена\n\nНажмите А для выхода,Misión fallida\n\nPulsa A para salir
Миссия успешна\n\nОсталось ходов: {}\n\nНажмите А для выхода,Misión exitosa\n\nMovimientos restantes: {}\n\nPulsa A para salir
Модификация файла не удалась,Error al modificar el archivo
На выбранном устройстве нет достаточного свободного места для установки,No hay suficiente espacio libre en el dispositivo seleccionado para la instalación
На месте нет достаточно свободного места,No hay suficiente espacio libre disponible
 сортировка по размеру, ordenar por tamaño
Нажмите (+) для перезаписи конфига обновлённым\n\nЛюбую другую кнопку для пропуска,Presiona (+) para sobrescribir la configuración con la actualizada\n\nCualquier otro botón para omitir
"Нажмите (+) для удаления, любую другую кнопку для пропуска...\n (-) Удалять все, больше не спрашивая","Pulsa (+) para eliminar, cualquier otro botón para omitir...\n (-) Eliminar todo sin preguntar más"
"Нажмите A, чтобы продолжить, другую кнопку, чтобы выйти","Pulsa A para continuar, otro botón para salir"
"Нажмите B, чтобы вернуться",Pulsa B para volver
Нажмите любую кнопку,Pulsa cualquier botón
Название: ,Nombre: 
Найден SDK: {},SDK encontrado: {}
Найден {} зарегистрированный контент-файл,Se encontró {} archivo de contenido registrado
Найден {} контент-файл,Se encontró {} archivo de contenido
Найден {} пользователь,Se encontró {} usuario
%% заряд-разряд     : {},%% carga-descarga    : {}
Найден {} потерянный контент-файл,Se encontró {} archivo de contenido huérfano
Найден {} файл,Se encontró {} archivo
Найден {} файл с ошибками,Se encontró {} archivo con errores
Найден и удалён {} неиспользуемый тикет,Encontrado y eliminado {} ticket no utilizado
Найдена {} запись об игре,Se encontró {} entrada de juego
Найдена {} запись об ошибках,Se encontró {} registro de error
Найдена {} установленная игра,Se encontró {} juego instalado
Найдено {} записей об играх,Se encontraron {} registros de juegos
Найдено {} записей об ошибках,Se encontraron {} informes de errores
Найдено {} записи об играх,Se encontraron {} entradas de juegos
({}/{}) Устанавливается {},({}/{}) Instalando {}
Найдено {} записи об ошибках,Se encontraron {} informes de errores
Найдено {} зарегистрированных контент-файла,Se encontraron {} archivos de contenido registrados
Найдено {} зарегистрированных контент-файлов,Se encontraron {} archivos de contenido registrados
Найдено {} контент-файла,Se encontraron {} archivos de contenido
Найдено {} контент-файлов,{} archivos de contenido encontrados
Найдено {} обновление,{} actualización encontrada
Найдено {} обновлений,Se encontraron {} actualizaciones
Найдено {} обновления,Se encontraron {} actualizaciones
Найдено {} пользователей,Se encontraron {} usuarios
Найдено {} пользователя,Se encontró {} usuario
Найдено {} потерянных контент-файла,Se encontraron {} archivos de contenido perdidos
Найдено {} потерянных контент-файлов,Se encontraron {} archivos de contenido huérfanos
Найдено {} сохранение,Se encontró {} guardado
Найдено {} сохранение...,Se encontró {} guardado...
Найдено {} сохранений,Se encontraron {} guardados
Найдено {} сохранений...,Se encontraron {} guardados...
Найдено {} сохранения,Se encontraron {} guardados
Найдено {} сохранения...,Se encontraron {} guardados...
Найдено {} установленные игры,Se encontraron {} juegos instalados
Найдено {} установленных игр,Se encontraron {} juegos instalados
Найдено {} файла,{} archivo encontrado
Найдено {} файла с ошибками,Se encontraron {} archivos con errores
Найдено {} файлов,{} archivos encontrados
Найдено {} файлов с ошибками,Se encontraron {} archivos con errores
Найдено и удалено {} неиспользуемых тикета,Se encontraron y eliminaron {} tickets no utilizados
Найдено и удалено {} неиспользуемых тикетов,Se encontraron y eliminaron {} tickets no utilizados
Найдено существующее сохранение. Восстанавливаю бекап в него...,Guardado existente encontrado. Restaurando copia de seguridad...
Настройки,Ajustes
Настройки DBI,Configuración de DBI
Настройки FB2,Configuración de FB2
Начало игры           : -,Inicio del juego       : -
Начало игры           : {},Inicio del juego       : {}
Начало создания Control.nca,Iniciando creación de Control.nca
Начало создания Program.nca,Iniciando creación de Program.nca
Начало установки. Место установки: ,Instalación iniciada. Ubicación de instalación: 
Начать установку,Iniciar instalación
Не доступно,No disponible
Не известно,Desconocido
"Не найден USB диск, который смог бы вместить получившийся дамп. Убедитесь, что он отформатирован в ExFAT.",No se encontró ninguna unidad USB que pueda contener el volcado resultante. Asegúrese de que esté formateada en ExFAT.
Не найдены требуемые тикеты,No se encontraron los tickets requeridos
. Время простоя \x1b[33;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tiempo inactivo \x1b[33;1m{:02}:{:02}:{:02}\x1b[37;1m
Не получилось создать NSP,No se pudo crear NSP
Не удалось получить список,No se pudo obtener la lista
Не удалось установить аватар\n{},No se pudo establecer el avatar\n{}
Не установлен,No instalado
Невозможно найти путь,No se puede encontrar la ruta
Невозможно открыть папку журналов ошибок,No se puede abrir la carpeta de registros de errores
Невозможно переименовать '{}' в '{}':,No se puede renombrar '{}' a '{}':
Невозможно получить список LFS,No se puede obtener la lista de LFS
Невозможно получить список пользователей,No se puede obtener la lista de usuarios
Невозможно получить статус связи с Nintendo Account,No se puede obtener el estado de vinculación de Nintendo Account
...готово,...hecho
Невозможно получить число записей об ошибках,No se puede obtener el número de registros de errores
Невозможно прочитать общие тикеты,No se pueden leer los tickets comunes
Невозможно прочитать персонализированные тикеты,No se pueden leer los tickets personalizados
Невозможно разобрать content meta,No se puede analizar content meta
Невозможно разобрать content meta. Неожиданная ошибка,No se puede analizar el content meta. Error inesperado
Невозможно разобрать content meta. УСТАРЕВШАЯ ПРОШИВКА. Требуется обновление HOS,No se puede analizar el content meta. FIRMWARE OBSOLETO. Se requiere actualización de HOS
Невозможно разобрать nca. УСТАРЕВШАЯ ПРОШИВКА. Требуется обновление HOS,No se puede analizar nca. FIRMWARE OBSOLETO. Se requiere actualización de HOS
Невозможно разобрать индекс кеша,No se puede analizar el índice de caché
Невозможно распаковать '{}':,No se puede desempaquetar '{}':
Невозможно скопировать файл\n   '{}'\n➡ '{}'\n,No se puede copiar el archivo\n   '{}'\n➡ '{}'\n
Невозможно смонтировать сохранение,No se puede montar el guardado
Невозможно смонтировать устройство сохраниения,No se puede montar el dispositivo de guardado
Невозможно создать выходной zip-файл: ,No se puede crear el archivo zip de salida: 
Невозможно создать каталог,No se puede crear el directorio
Невозможно создать каталог '{}':,No se puede crear el directorio '{}':
Невозможно создать файл,No se puede crear el archivo
Невозможно создать файл '{}':,No se puede crear el archivo '{}':
Недопустимый идентификатор,Identificador no válido
Неизвестная игра [{:016x}],Juego desconocido [{:016x}]
: {:>4} сохранение,: {:>4} guardado
Неизвестно,Desconocido
Неизвестный тайтл,Título desconocido
Неиспользуемый тикет: ,Ticket no utilizado: 
Немецкий,Alemán
Неправильное хранилище,Almacenamiento no válido
Неправильный родительский объект,Objeto padre no válido
Нет,No
Нет VFS. Прекращение работы,No hay VFS. Terminando
Нет exefs VFS. Прекращение работы,No hay exefs VFS. Terminando
: {:>4} сохранений,: {:>4} guardados
Нет logo VFS. Прекращение работы,No hay logo VFS. Terminando
Нет romfs VFS. Прекращение работы,No hay romfs VFS. Terminando
Нет лого,Sin logo
Нечего устанавливать,Nada que instalar
Никнейм консоли         : {},Apodo de la consola   : {}
Новое имя для '{}',Nuevo nombre para '{}'
Новый каталог,Nuevo directorio
Новый размер сохранения в МБ,Nuevo tamaño de guardado en MB
Новый рейтинг (-1 для удаления),Nueva clasificación (-1 para eliminar)
: {:>4} сохранения,: {:>4} guardados
Номер страницы,Número de página
Ночь,Noche
Нужен связанный аккаунт,Se requiere cuenta vinculada
ОШИБКА ПОЛУЧЕНИЯ ЭКСТРА ДАННЫХ,ERROR AL OBTENER DATOS EXTRA
Обнаружены недопустимые символы,Caracteres no válidos detectados
Обновить DBI,Actualizar DBI
Обновить DBI из этого файла,Actualizar DBI desde este archivo
Обновить TitleDB,Actualizar TitleDB
   {:>3} мин,   {:>3} min
Обновление TitleDB,Actualizando TitleDB
Обновление базы данных...,Actualizando base de datos...
Обновление версии до {} {}\n\nНажмите (+) для продолжения\nЛюбую другую кнопку для отмены,Actualizando versión a {} {}\n\nPresiona (+) para continuar\nCualquier otro botón para cancelar
Обновление времени...,Actualizando hora...
Обновление закончено\n\nНажмите любую кнопку\nдля перезапуска DBI,Actualización completada\n\nPresione cualquier botón\npara reiniciar DBI
Обновление фейковой записи {} ➡ [v{}],Actualizando registro falso {} ➡ [v{}]
Обновление. Пожалуйста подождите...,"Actualizando. Por favor, espere..."
Обновляется запись об игре...,Actualizando registro del juego...
Обрабатывается запись {:016X},Procesando registro {:016X}
Обратный альбом (180°),Álbum invertido (180°)
Обратный портрет (270°),Retrato inverso (270°)
Общее время активной игры     : {} часов,Tiempo total de juego activo     : {} horas
Общее время дампа {:d}:{:02d}:{:02d},Tiempo total de volcado {:d}:{:02d}:{:02d}
Общее время запущенных игр    : {} часов,Tiempo total de juego    : {} horas
Общее время игры      : -,Tiempo total de juego      : -
Общее время игры      : {:d} часов {:02d} минут,Tiempo total de juego      : {:d} horas {:02d} minutos
Общее время установки: {:d}:{:02d}:{:02d},Tiempo total de instalación: {:d}:{:02d}:{:02d}
Общее время: {:02}:{:02}:{:02},Tiempo total: {:02}:{:02}:{:02}
Общее занимаемое место: N:{} + S:{} = {},Espacio total ocupado: N:{} + S:{} = {}
Общее число запусков  : -,Número total de lanzamientos : -
Общее число игровых сессий    : {},Número total de sesiones de juego : {}
Общие,General
Общий размер передачи   :,Tamaño total de transferencia :
Общий размер установки  :,Tamaño total de instalación   :
Общий размер установки: {},Tamaño total de instalación: {}
Объединение списков,Combinar listas
Объект {} не допустим,El objeto {} no está permitido
Объект {} не может быть создан,El objeto {} no se puede crear
Объект не открыт для редактирования,El objeto no está abierto para edición
Объект удалён,Objeto eliminado
Bluetooth MAC адрес    : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Dirección MAC Bluetooth          : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Объект уже открыт для редактирования,El objeto ya está abierto para edición
Огибка получения адреса сокета: {} {},Error al obtener la dirección del socket: {} {}
Ожидаемый размер: {},Tamaño esperado: {}
Ожидается ,Se espera 
Ожидается большой (>4GB) файл,Se espera un archivo grande (>4GB)
Ожидается запуск dbibackend на стороне ПК...,Esperando que dbibackend se inicie en el PC...
Ожидание включения интерфейса: ,Esperando activación de interfaz: 
Ожидание: {} секунд,Esperando: {} segundos
Ожидание: {} секунда,Esperando: {} segundo
Ожидание: {} секунды,Esperando: {} segundos
CDIR в листинге,CDIR en listado
Ориентация,Orientación
Ориентация...,Orientación...
Освобождено места в NAND: ,Espacio NAND liberado: 
Освобождено места на SD : ,Espacio liberado en SD : 
Основной SDK не найден. Пробуем мультипрограмный вариант,SDK principal no encontrado. Intentando variante multiprograma
Оставить сохранения,Conservar datos de guardado
Осталось ходов:    {:>3},Movimientos restantes:    {:>3}
Остаток файла пропускается,Se omite el resto del archivo
Отключение связи с мобильным приложением...,Desconectando de la aplicación móvil...
Configuration Id1      : {},Configuration Id1                : {}
Открываем папку прошивки...,Abriendo carpeta de firmware...
Открыть,Abrir
Открыть вторую панель,Abrir segundo panel
Открыть как 7Z,Abrir como 7Z
Открыть как RAR,Abrir como RAR
Открыть как ZIP,Abrir como ZIP
Открыть как hex,Abrir como hex
Открыть как текст,Abrir como texto
Открыть контент по MTP,Abrir contenido por MTP
Открыть папку LFS,Abrir carpeta LFS
Content meta не найден. Установка прервана,Meta de contenido no encontrado. Instalación cancelada
Отослано {}/{} байт,Enviados {}/{} bytes
Отсутствуют ES сигпатчи!,¡Faltan los sigpatches de ES!
Очистка /atmosphere/contents,Limpiando /atmosphere/contents
Очистка кеша rightsId...,Limpiando caché de rightsId...
Очистка папки...,Limpiando carpeta...
Очистка плейсхолдеров...,Limpiando marcadores...
Очистка системы от мусора,Limpieza del sistema de basura
Очистка сохранений,Borrando datos de guardado
Очистка...,Limpiando...
Ошибка FTP сервера,Error del servidor FTP
DBI Просмотр альбома,DBI Vista de álbum
Ошибка во время копирования файла,Error al copiar el archivo
Ошибка во время обновления тайтла,Error durante la actualización del título
Ошибка выделения сокета: {},Error de asignación de socket: {}
Ошибка завершения соединения: {},Error al finalizar la conexión: {}
Ошибка загрузки картинки,Error al cargar la imagen
Ошибка загрузки файла из альбома: {},Error al cargar el archivo del álbum: {}
Ошибка закрытия сокета: {},Error al cerrar el socket: {}
Ошибка записи файла: {},Error al escribir el archivo: {}
Ошибка изменения размера файла,Error al cambiar el tamaño del archivo
Ошибка инициализации {}: {},Error de inicialización {}: {}
"DPAD и стики - прокрутка, L - стр. вверх, R - стр. вниз","DPAD y sticks - desplazar, L - página arriba, R - página abajo"
Ошибка опроса сокета: {},Error de sondeo de socket: {}
Ошибка открытия каталога: {},Error al abrir el directorio: {}
Ошибка открытия сокета: {},Error al abrir el socket: {}
Ошибка открытия файла,Error al abrir el archivo
Ошибка открытия файла '{}': {},Error al abrir el archivo '{}': {}
Ошибка открытия файла: {},Error al abrir el archivo: {}
Ошибка отсылки: {},Error de envío: {}
Ошибка переименования: {},Error al renombrar: {}
Ошибка подключения: {},Error de conexión: {}
Ошибка подмены SDK: {},Error de reemplazo de SDK: {}
"DPAD и стики - прокрутка, L - стр. вверх, R - стр. вниз, R3 - Текст/Hex","DPAD y sticks - desplazar, L - pág. arriba, R - pág. abajo, R3 - Texto/Hex"
Ошибка получения адреса узла: {},Error al obtener la dirección del nodo: {}
Ошибка получения внеочередных данных: {},Error al obtener datos fuera de banda: {}
Ошибка получения имени сокета: {} {},Error al obtener el nombre del socket: {} {}
Ошибка получения информаци о файле: {},Error al obtener información del archivo: {}
Ошибка получения размера файла: {},Error al obtener el tamaño del archivo: {}
Ошибка получения флагов сокета: {},Error al obtener las banderas del socket: {}
Ошибка получения хранилища {},Error al obtener el almacenamiento {}
Ошибка получения: {},Error de obtención: {}
Ошибка получения: {} {},Error al obtener: {} {}
Ошибка посылки файла: {},Error al enviar archivo: {}
   Получение списка бекапов...   ,   Obteniendo lista de copias de seguridad...   
Ошибка привязки сокета к порту {}: {},Error al vincular el socket al puerto {}: {}
Ошибка привязки: {},Error de enlace: {}
Ошибка принятия соединения: {} {},Error al aceptar la conexión: {} {}
Ошибка приёма соединения: {},Error al recibir la conexión: {}
Ошибка проверси метки сокета: {},Error de verificación de etiqueta de socket: {}
Ошибка прослушивания: {},Error de escucha: {}
Ошибка прослушки сокета: {},Error de escucha del socket: {}
Ошибка сжатия,Error de compresión
Ошибка создания каталога: {},Error al crear el directorio: {}
Ошибка создания сокета: {},Error al crear el socket: {}
DPAD/Стики - Навигация по страницам\n\n     ZR+ZL - Переход к странице... \n\n       L/R - Навигация по главам   \n\n       (-) - Эта подсказка         \n\n       (+) - Меню                  ,DPAD/Sticks - Navegación de páginas\n\n     ZR+ZL - Ir a página... \n\n       L/R - Navegación de capítulos   \n\n       (-) - Esta sugerencia         \n\n       (+) - Menú                  
Ошибка создания сохранения,Error al crear la partida guardada
Ошибка удаления каталога: {},Error al eliminar el directorio: {}
Ошибка удаления файла: {},Error al eliminar el archivo: {}
Ошибка установки флагов сокета: {},Error al establecer las banderas del socket: {}
Ошибка чтения записи об игре: {},Error al leer el registro del juego: {}
Ошибка чтения каталога: {},Error al leer el directorio: {}
Ошибка чтения регистров max17050: ,Error al leer los registros max17050: 
Ошибка чтения сохранённых параметров контроллера: ,Error al leer los parámetros guardados del controlador: 
Ошибка чтения файла: {},Error al leer el archivo: {}
DeviceId                : {0:} ({0:016X}),DeviceId              : {0:} ({0:016X})
Ошибок не найдено,No se encontraron errores
Ошибочный номер DLC (Должен быть в диапазоне 0x001-0x7FF),Número de DLC no válido (Debe estar en el rango 0x001-0x7FF)
Ошибочный номер DLC (Должен быть в диапазоне 1-2047),Número de DLC no válido (Debe estar en el rango 1-2047)
"Ошибочный тикет {0}: kg {1:02X}, pm {2:02X}","Ticket inválido {0}: kg {1:02X}, pm {2:02X}"
Папка LFS не найдена,Carpeta LFS no encontrada
Папка для бекапа сохранений,Carpeta de copia de seguridad de datos de guardado
Папка для дампа игр,Carpeta de volcado de juegos
Папка журналов,Carpeta de registros
Папка обновления очищена,Carpeta de actualización borrada
DramId                  : {} ({}),DramId                : {} ({})
Параметры FTP,Configuración de FTP
Параметры MTP,Configuración de MTP
Параметры установки,Opciones de instalación
Пароль,Contraseña
Перевернуть джойконы,Voltear joycons
Перевернуть экран,Voltear pantalla
Передача окончена,Transferencia completada
Переименование объекта,Renombrando objeto
Переименовать,Renombrar
Перейти к первой странице,Ir a la primera página
Emummc включён               : {},Emummc habilitado              : {}
Перейти к последней странице,Ir a la última página
Перейти к странице...,Ir a la página...
Переместить,Mover
Переместить в NAND,Mover a NAND
Переместить на SD карту,Mover a tarjeta SD
"Перемещение {} ({}, {}) в {}","Moviendo {} ({}, {}) a {}"
Перемещение {} записей,Moviendo {} entradas
Перемещение {} записи,Moviendo {} entrada
Перемещение {} игр,Moviendo {} juegos
Перемещение {} игры,Moviendo {} juego
FTP сервер (нажмите B для остановки),Servidor FTP (pulsa B para detener)
Перемещение контента,Moviendo contenido
Перенос строк,Salto de línea
Переносить слова,Ajustar palabras
Переоткрытие ФС сохранения: {},Reabriendo FS de guardado: {}
Пишется новая запись о контенте...,Escribiendo nuevo registro de contenido...
Пишется новый cnmt.nca...,Escribiendo nuevo cnmt.nca...
Платформа               : {},Plataforma            : {}
Подготовка...,Preparando...
Подключаемся к {}...,Conectando a {}...
FullCap               : {:04x} ({} mAh),FullCap                 : {:04x} ({} mAh)
Подключено к {}:{},Conectado a {}:{}
Подмена SDK,Reemplazo de SDK
Подменить SDK,Reemplazar SDK
Подсвечивать файлы обновлений,Resaltar archivos de actualización
Подсчитывается размер установки...,Calculando tamaño de instalación...
Подсчитывается размер установки...{}%,Calculando tamaño de instalación...{}%
Подсчитываются объекты в альбоме в NAND,Contando objetos en el álbum en NAND
Подсчитываются объекты в альбоме на SD карте,Contando objetos en el álbum de la tarjeta SD
Подсчёт метаданных...,Contando metadatos...
Подсчёт основного хэша,Calculando hash principal
FullCapNom            : {:04x} ({} mAh),FullCapNom              : {:04x} ({} mAh)
Подсчёт хэша секции,Calculando hash de sección
"Пожалуйста, подключите вашу консоль к ПК кабелем USB Type-C или нажмите B","Por favor, conecta tu consola al PC con un cable USB Type-C o pulsa B"
"Пожалуйста, подождите...","Por favor, espere..."
Поиск записей об ошибках,Buscando registros de errores
Поиск неиспользуемых тикетов,Buscando tickets no utilizados
Поиск подготовленного системного обновления,Buscando actualización del sistema preparada
Поиск потерянных тайтлов,Buscando títulos perdidos
Поиск потерянных файлов в NAND,Buscando archivos perdidos en NAND
Поиск потерянных файлов на SD,Buscando archivos perdidos en SD
