original,translation
Все файлы в порядке,Visi failai yra tvarkoje
Всего {} байт получен,{} baitų gauta
Всего {} байт послан,{} baitų išsiųsta
Всего {} байта получено,Iš viso gauta {} baitų
 Да, Taip
Всего {} байта послано,{} baitai išsiųsti
Всего {} байтов получено,Iš viso gauta {} baitų
Всего {} байтов послано,{} baitų išsiųsta
Всего записей: {},Iš viso įrašų: {}
Всего освобождено места : ,Iš viso atlaisvinta vietos : 
Всего отослано: {} ({}/сек),Iš viso išsiųsta: {} ({}/sek)
Всего программ: {},Iš viso programų: {}
Вставить,Įterpti
Вставка...,Įterpiama...
Всё время. Всего: {} час,Visas laikas. Iš viso: {} val.
Всё время. Всего: {} часа,Visas laikas. Iš viso: {} valandos
Всё время. Всего: {} часов,Visas laikas. Iš viso: {} valandų
Вы собираетесь удалить следующие бекапы:,Ketinate ištrinti šias atsargines kopijas:
Вы собираетесь удалить следующие игры:,Ketinate ištrinti šiuos žaidimus:
Вы собираетесь удалить следующие сохранения:,Ketinate ištrinti šiuos išsaugojimus:
Вы собираетесь удалить следующие тикеты:,Ketinate ištrinti šiuos bilietus:
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,Ar tikrai norite ištrinti {} įrašus?\n\n(+) - TAIP   B - Atšaukti
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,Ar tikrai norite ištrinti {} įrašą?\n\n(+) - TAIP   B - Atšaukti
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,Ar tikrai norite ištrinti {} objektą?\n\n(+) - TAIP   B - Atšaukti
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,Ar tikrai norite ištrinti {} objektus?\n\n(+) - TAIP   B - Atšaukti
    {:>2} сек,    {:>2} sek
 Закрытие игры, Žaidimo uždarymas
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ","Ar tikrai norite ištrinti {}?\n\n(+) - TAIP, kitas mygtukas - NE"
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",Ar tikrai norite ištrinti\n{}?\n\n(+) - TAIP  B - Atšaukti
Выберите пользователя,Pasirinkti vartotoją
Выберите тип сохранения,Pasirinkite išsaugojimo tipą
Выбрать все файлы игры,Pasirinkti visus žaidimo failus
Выбрать того же пользователя,Pasirinkti tą patį vartotoją
Выбрать ту же игру,Pasirinkti tą patį žaidimą
Выйти из DBI            :,Išeiti iš DBI           :
Выключать экран,Išjungti ekraną
Выключить экран         :,Išjungti ekraną         :
 Запуск игры, Paleidžiamas žaidimas
Вырезать,Iškirpti
Выход на рабочий стол,Išeiti į pagrindinį meniu
Вычисление хэша,Skaičiuojama maiša
Вычисленное время конца : {},Apskaičiuotas pabaigos laikas : {}
Вычисленное время начала: {},Apskaičiuotas pradžios laikas: {}
Генерация DLC [{:016X}][v{}],DLC generavimas [{:016X}][v{}]
Генерация DLC анлокера...,Generuojamas DLC atrakintojas...
Генерируется анлокер для {:016X} с номером {} и версией {}...,Generuojamas atrakintojas {:016X} su numeriu {} ir versija {}...
Генерируется ярлык для пути '{}' и аргументов '{}'...,Generuojama nuoroda keliui '{}' ir argumentams '{}'...
 Логаут пользователя \x1b[36;1m{}\x1b[37;1m, Atsijungia naudotojas \x1b[36;1m{}\x1b[37;1m
Главное меню,Pagrindinis meniu
Голландский,Olandų
"Да, я уверен","Taip, esu tikras"
Дамп анлокера в '{}'...,Atrakintojo išmetimas į '{}'...
Дамп текущей прошивки,Dabartinės programinės įrangos išklotinė
Дамп ярлыка в '{}'...,Nuorodos išmetimas į '{}'...
Дата первого игрового события : {},Pirmojo žaidimo įvykio data     : {}
Действия с файлами,Failų operacijos
Действия с файлами ({}),Failų veiksmai ({})
 Логин пользователя \x1b[36;1m{}\x1b[37;1m, Vartotojo vardas \x1b[36;1m{}\x1b[37;1m
Декабрь,Gruodis
День,Diena
Диаграмма активности,Aktyvumo diagrama
Для бекапов,Atsarginėms kopijoms
Для выхода нажмите любую кнопку,"Paspauskite bet kurį mygtuką, kad išeitumėte"
Для дампов,Dumpams
Для логов,Žurnalams
Добавить в любимые,Pridėti prie mėgstamų
Добавлять суффикс к имени файла,Pridėti priesagą prie failo pavadinimo
Достаточное питание            : {},Pakankamas maitinimas                 : {}
 Переключение на игру, Perjungiama į žaidimą
Европа,Europa
Есть исправление RCM бага    : {},RCM klaidos pataisymas yra     : {}
"Есть несохранёные изменения.\nВы хотите их сохранить?\n\n(+) - Да, сохранить\n\n(-) - Выйти без сохранения\n\nДругая кнопка - Отмена","Yra neišsaugotų pakeitimų.\nAr norite juos išsaugoti?\n\n(+) - Taip, išsaugoti\n\n(-) - Išeiti neišsaugant\n\nKitas mygtukas - Atšaukti"
Желаемая версия: {},Norima versija: {}
Журнал активности,Veiklos žurnalas
Журналирование действий,Veiksmų registravimas
Завершено,Užbaigta
Загружается список обновлений...,Įkeliamas atnaujinimų sąrašas...
Загружено ,Įkeltas 
Загрузка изображения...,Įkeliamas vaizdas...
 Режим работы изменился: {}, Veikimo režimas pakeistas: {}
Загрузка текста...{}%,Įkeliamas tekstas...{}%
Загрузка файла... {}%,Įkeliamas failas... {}%
Задать размер файла {} не удалось: {},Nepavyko nustatyti failo dydžio {}: {}
Закладки на SD,Žymės SD
Закончено за {:02d}:{:02d}:{:02d},Užbaigta per {:02d}:{:02d}:{:02d}
Закончилась память при посылке ответа,Baigėsi atmintis siunčiant atsakymą
Закончились дополнительные буферы. Скорость записи на носитель слишком низка,Baigėsi papildomi buferiai. Rašymo į laikmeną greitis per mažas
Закрытие соединения,Uždaromas ryšys
Закрытие соединения к {}:{},Uždaromas ryšys su {}:{}
 Сброс системных часов, Atstatyti sistemos laikrodį
Запаковать LFS в romfs.bin,Supakuoti LFS į romfs.bin
Запаковать в romfs.bin,Supakuoti į romfs.bin
Запаковка папки в RomFS,Aplanko pakavimas į RomFS
Записанное время конца  : {},Įrašytas pabaigos laikas  : {}
Записанное время начала : {},Įrašytas pradžios laikas : {}
Запись в CAL0 разрешена      : {},CAL0 rašymas leidžiamas        : {}
Запись в файл...,Rašoma į failą...
Запись за пределами файла,Rašymas už failo ribų
Заполнение нулями,Užpildymas nuliais
Заполнить свободное место на SD нулями,Užpildyti laisvą vietą SD nuliais
 Сворачивание игры, Žaidimo sustabdymas
Запрет захвата видео,Drausti vaizdo įrašymą
Запрет скриншотов,Ekrano kopijų draudimas
Запрещено,Uždrausta
Запрос на удаление ,Ištrynimo užklausa 
Запускавшиеся игры,Paleisti žaidimai
Запускать точку доступа,Paleisti prieigos tašką
Запустить FTP сервер,Paleisti FTP serverį
Запустить FTP сервер...,Paleisti FTP serverį...
Запустить HTTP сервер,Paleisti HTTP serverį
Запустить HTTP сервер...,Paleidžiamas HTTP serveris...
 Состояние электропитания изменилось: {}, Maitinimo būsena pasikeitė: {}
Запустить МТР соединение,Paleisti MTP ryšį
Запустить случайную игру,Paleisti atsitiktinį žaidimą
Заряд батареи                  : {},Baterijos įkrova               : {}
Заряд батареи                  : {}%,Baterijos įkrova                      : {}%
Заряд батареи (сырое значение) : {}%,Baterijos įkrova (neapdorota reikšmė) : {}%
Зарядка батареи                : {},Baterijos įkrova                      : {}
Здесь пусто,Čia nieko nėra
Игра анонсирует SDK {},Žaidimas skelbia SDK {}
" и {} новое DLC,"," ir {} naujas DLC,"
"Игра анонсирует более новый SDK ({}), чем текущая прошивка ({})",Žaidimas reikalauja naujesnės SDK ({}) nei dabartinė programinė įranga ({})
Игра использует titleId от дополнения,Žaidimas naudoja titleId iš DLC
Игра использует titleId от обновления,Žaidimas naudoja titleId iš atnaujinimo
Извлечь в LFS,Išskleisti į LFS
Изменение размера сохранения на {} [{}]...,Keičiamas išsaugojimo dydis į {} [{}]...
Изменить версию DLC (десятичную),Keisti DLC versiją (dešimtainę)
Изменить номер DLC (десятичный),Keisti DLC numerį (dešimtainis)
Изменить номер DLC (шестнадцатеричный),Keisti DLC numerį (šešioliktainis)
Изменён размер SaveFS,SaveFS dydis pakeistas
" и {} новых DLC,"," ir {} nauji DLC,"
Импорт исправленного тикета...,Importuojamas pataisytas bilietas...
Импорт тикета...,Importuojamas bilietas...
Имя     : ,Vardas  : 
"Имя каталога\n'{}'\nсодержит недопустимые символы.\nОн не может быть создан.\n\nНажмите A - прервать, B - пропустить, X - переименовать","Katalogo pavadinimas\n'{}'\nturi neleistinų simbolių.\nJo sukurti negalima.\n\nPaspauskite A - nutraukti, B - praleisti, X - pervadinti"
"Имя файла\n'{}'\nсодержит недопустимые символы.\nОн не может быть создан.\n\nНажмите A - прервать, B - пропустить, X - переименовать","Failo pavadinime\n'{}'\nyra neleistinų simbolių.\nJo sukurti negalima.\n\nPaspauskite A - nutraukti, B - praleisti, X - pervadinti"
Инсталлируется romfs.bin,Įdiegiama romfs.bin
Инструменты,Įrankiai
Информация о зарядке батареи,Baterijos įkrovimo informacija
Информация о контенте,Turinio informacija
Информация о контенте ({}),Turinio informacija ({})
 сортировка по дате создания, rūšiuoti pagal sukūrimo datą
Информация о прошивке,Programinės įrangos informacija
Информация о системе,Sistemos informacija
Информация о сохранении,Išsaugojimo informacija
Информация о сохранении...,Išsaugojimo informacija...
Информация о тикете,Bilieto informacija
Информация о тикете...,Bilieto informacija...
Информация об NSP,NSP informacija
Информация об атмосфере,Atmosphere informacija
Информация об игровой активности,Žaidimo veiklos informacija
Информация об источние питания,Maitinimo šaltinio informacija
 сортировка по имени, rūšiuoti pagal pavadinimą
Информация об оборудовании,Aparatinės įrangos informacija
Информация...,Informacija...
Испанский,Ispanų
Использовано дополнительной памяти: {}. Создано буферов: {},Panaudota papildomos atminties: {}. Sukurta buferių: {}
Использовать 5 GHz,Naudoti 5 GHz
Использовать MSG_WAITALL в recv,Naudoti MSG_WAITALL recv funkcijoje
Использовать для неё TitleID,Naudoti TitleID jai
Использовать папку для...,Naudoti aplanką...
Использовать разгон,Naudoti spartinimą
Использовать скрытый SSID,Naudoti paslėptą SSID
 сортировка по имени игры, rūšiuoti pagal žaidimo pavadinimą
Используется ,Naudojama 
Используется USB{},Naudojamas USB{}
Источник питания                 : {},Maitinimo šaltinis                 : {}
Итальянский,Italų
Ищется control для ProgramId {},Ieškoma control ProgramId {}
Ищется exefs/romfs для ProgramId {},Ieškoma exefs/romfs ProgramId {}
Ищется exefs/romfs/logo для ProgramId {},Ieškoma exefs/romfs/logo ProgramId {}
Ищется {},Ieškoma {}
 сортировка по месту установки, rūšiuoti pagal diegimo vietą
Июль,Liepa
Июнь,Birželis
Канадский французский,Kanados prancūzų
"Когда ваше устройство подключится, нажмите любую кнопку","Paspauskite bet kurį mygtuką, kai prisijungs jūsų įrenginys"
Код партии батареи    : {} ({}),Baterijos partijos kodas: {} ({})
Кодировка,Kodavimas
Конвертация в фейковые ,Konvertavimas į netikrus 
Конец игры            : -,Žaidimo pabaiga       : -
Конец игры            : {},Žaidimo pabaiga       : {}
 сортировка по общему размеру, rūšiuoti pagal bendrą dydį
Контент уже на месте,Turinys jau yra vietoje
Копирование IVFC слой {} в nca: {},Kopijuojamas IVFC sluoksnis {} į nca: {}
Копирование PFS0 в nca,Kopijuojama PFS0 į nca
Копирование PFS0 хэш таблицы в nca,Kopijuojama PFS0 maišos lentelė į nca
Копирование SDK {} в файл: {}...,Kopijuojamas SDK {} į failą: {}...
Копировать,Kopijuoti
Корейский,Korėjiečių
Корень не найден,Šaknis nerasta
Корень сохранения не существует,Išsaugojimo šaknis neegzistuoja
 сортировка по пользователю, rūšiuoti pagal vartotoją
Корея,Korėja
Курсор на обеих панелях,Žymeklis abiejuose skydeliuose
Латиноамериканский испанский,Lotynų Amerikos ispanų
Май,Gegužė
Март,Kovas
Масштаб: По ширине,Mastelis: Pritaikyti prie pločio
Масштаб: По экрану,Mastelis: Pritaikyti ekranui
Масштаб: Точка в точку,Mastelis: Pikselis į pikselį
Масштаб: Увеличение x2,Mastelis: 2x didinimas
 сортировка по порядку игры, rūšiuoti pagal žaidimo tvarką
Место в  NAND         : {},Vieta NAND           : {}
Место на SD карте     : {},Vieta SD kortelėje     : {}
Место на приставке не занято,Konsolėje neužimta vietos
Место установки         :,Diegimo vieta           :
Мета контент отсутствует,Trūksta meta turinio
Миссия провалена\n\nНажмите А для выхода,Misija nepavyko\n\nPaspauskite A išėjimui
Миссия успешна\n\nОсталось ходов: {}\n\nНажмите А для выхода,Misija sėkminga\n\nLiko ėjimų: {}\n\nPaspauskite A išėjimui
Модификация файла не удалась,Failo modifikavimas nepavyko
На выбранном устройстве нет достаточного свободного места для установки,Pasirinktame įrenginyje nepakanka laisvos vietos diegimui
На месте нет достаточно свободного места,Nepakanka laisvos vietos
 сортировка по размеру, rūšiuoti pagal dydį
Нажмите (+) для перезаписи конфига обновлённым\n\nЛюбую другую кнопку для пропуска,"Paspauskite (+), kad perrašytumėte konfigūraciją atnaujinta\n\nBet kurį kitą mygtuką, kad praleistumėte"
"Нажмите (+) для удаления, любую другую кнопку для пропуска...\n (-) Удалять все, больше не спрашивая","Paspauskite (+) ištrinti, bet kurį kitą mygtuką praleisti...\n (-) Ištrinti viską, daugiau neklausti"
"Нажмите A, чтобы продолжить, другую кнопку, чтобы выйти","Paspauskite A, kad tęstumėte, kitą mygtuką, kad išeitumėte"
"Нажмите B, чтобы вернуться","Paspauskite B, kad grįžtumėte"
Нажмите любую кнопку,Paspauskite bet kurį mygtuką
Название: ,Pavadinimas: 
Найден SDK: {},Rastas SDK: {}
Найден {} зарегистрированный контент-файл,Rastas {} registruotas turinio failas
Найден {} контент-файл,Rastas {} turinio failas
Найден {} пользователь,Rastas {} vartotojas
%% заряд-разряд     : {},%% įkrovimas-iškrovimas : {}
Найден {} потерянный контент-файл,Rastas {} našlaitis turinio failas
Найден {} файл,Rastas {} failas
Найден {} файл с ошибками,Rastas {} failas su klaidomis
Найден и удалён {} неиспользуемый тикет,Rastas ir ištrintas {} nenaudojamas bilietas
Найдена {} запись об игре,Rastas {} žaidimo įrašas
Найдена {} запись об ошибках,Rastas {} klaidos įrašas
Найдена {} установленная игра,Rasta {} įdiegtas žaidimas
Найдено {} записей об играх,Rasta {} žaidimų įrašų
Найдено {} записей об ошибках,Rasta {} klaidų ataskaitų
Найдено {} записи об играх,Rasta {} žaidimų įrašų
({}/{}) Устанавливается {},({}/{}) Diegiama {}
Найдено {} записи об ошибках,Rasta {} klaidų ataskaitų
Найдено {} зарегистрированных контент-файла,Rasta {} registruotų turinio failų
Найдено {} зарегистрированных контент-файлов,Rasta {} registruotų turinio failų
Найдено {} контент-файла,Rasta {} turinio failų
Найдено {} контент-файлов,Rasta {} turinio failų
Найдено {} обновление,{} atnaujinimas rastas
Найдено {} обновлений,Rasta {} atnaujinimų
Найдено {} обновления,Rasta {} atnaujinimų
Найдено {} пользователей,Rasta {} naudotojų
Найдено {} пользователя,Rasta {} naudotojas
Найдено {} потерянных контент-файла,Rasta {} prarastų turinio failų
Найдено {} потерянных контент-файлов,Rasta {} našlaitėlių turinio failų
Найдено {} сохранение,Rasta {} išsaugojimas
Найдено {} сохранение...,Rasta {} išsaugojimas...
Найдено {} сохранений,Rasta {} išsaugojimų
Найдено {} сохранений...,Rasta {} išsaugojimų...
Найдено {} сохранения,Rasta {} išsaugojimų
Найдено {} сохранения...,Rasta {} išsaugojimų...
Найдено {} установленные игры,Rasta {} įdiegtų žaidimų
Найдено {} установленных игр,Rasta {} įdiegtų žaidimų
Найдено {} файла,{} failas rastas
Найдено {} файла с ошибками,Rasta {} failų su klaidomis
Найдено {} файлов,Rasta {} failų
Найдено {} файлов с ошибками,Rasta {} failų su klaidomis
Найдено и удалено {} неиспользуемых тикета,Rasta ir pašalinta {} nenaudojamų bilietų
Найдено и удалено {} неиспользуемых тикетов,Rasta ir pašalinta {} nenaudojamų bilietų
Найдено существующее сохранение. Восстанавливаю бекап в него...,Rastas esamas išsaugojimas. Atkuriamas atsarginė kopija...
Настройки,Nustatymai
Настройки DBI,DBI nustatymai
Настройки FB2,FB2 nustatymai
Начало игры           : -,Žaidimo pradžia        : -
Начало игры           : {},Žaidimo pradžia        : {}
Начало создания Control.nca,Pradedamas Control.nca kūrimas
Начало создания Program.nca,Pradedamas Program.nca kūrimas
Начало установки. Место установки: ,Diegimas pradėtas. Diegimo vieta: 
Начать установку,Pradėti diegimą
Не доступно,Nepasiekiama
Не известно,Nežinoma
"Не найден USB диск, который смог бы вместить получившийся дамп. Убедитесь, что он отформатирован в ExFAT.","Nerastas USB diskas, kuris galėtų sutalpinti gautą išklotinę. Įsitikinkite, kad jis suformatuotas ExFAT formatu."
Не найдены требуемые тикеты,Reikalingi bilietai nerasti
. Время простоя \x1b[33;1m{:02}:{:02}:{:02}\x1b[37;1m,. Neveikimo laikas \x1b[33;1m{:02}:{:02}:{:02}\x1b[37;1m
Не получилось создать NSP,Nepavyko sukurti NSP
Не удалось получить список,Nepavyko gauti sąrašo
Не удалось установить аватар\n{},Nepavyko nustatyti avataro\n{}
Не установлен,Neįdiegta
Невозможно найти путь,Nepavyko rasti kelio
Невозможно открыть папку журналов ошибок,Nepavyko atidaryti klaidų žurnalo aplanko
Невозможно переименовать '{}' в '{}':,Nepavyko pervadinti '{}' į '{}':
Невозможно получить список LFS,Nepavyko gauti LFS sąrašo
Невозможно получить список пользователей,Nepavyko gauti vartotojų sąrašo
Невозможно получить статус связи с Nintendo Account,Nepavyko gauti Nintendo Account susiejimo būsenos
...готово,...atlikta
Невозможно получить число записей об ошибках,Nepavyko gauti klaidų įrašų skaičiaus
Невозможно прочитать общие тикеты,Nepavyko perskaityti bendrų bilietų
Невозможно прочитать персонализированные тикеты,Nepavyko perskaityti personalizuotų bilietų
Невозможно разобрать content meta,Nepavyko išanalizuoti content meta
Невозможно разобрать content meta. Неожиданная ошибка,Nepavyko išanalizuoti content meta. Netikėta klaida
Невозможно разобрать content meta. УСТАРЕВШАЯ ПРОШИВКА. Требуется обновление HOS,Nepavyko išanalizuoti content meta. PASENUSI PROGRAMINĖ ĮRANGA. Reikalingas HOS atnaujinimas
Невозможно разобрать nca. УСТАРЕВШАЯ ПРОШИВКА. Требуется обновление HOS,Nepavyko išanalizuoti nca. PASENUSI PROGRAMINĖ ĮRANGA. Reikalingas HOS atnaujinimas
Невозможно разобрать индекс кеша,Nepavyko išanalizuoti talpyklos indekso
Невозможно распаковать '{}':,Nepavyko išpakuoti '{}':
Невозможно скопировать файл\n   '{}'\n➡ '{}'\n,Nepavyko nukopijuoti failo\n   '{}'\n➡ '{}'\n
Невозможно смонтировать сохранение,Nepavyko prijungti išsaugojimo
Невозможно смонтировать устройство сохраниения,Nepavyko prijungti išsaugojimo įrenginio
Невозможно создать выходной zip-файл: ,Nepavyko sukurti išvesties zip failo: 
Невозможно создать каталог,Nepavyko sukurti katalogo
Невозможно создать каталог '{}':,Nepavyko sukurti katalogo '{}':
Невозможно создать файл,Nepavyko sukurti failo
Невозможно создать файл '{}':,Nepavyko sukurti failo '{}':
Недопустимый идентификатор,Netinkamas identifikatorius
Неизвестная игра [{:016x}],Nežinomas žaidimas [{:016x}]
: {:>4} сохранение,: {:>4} išsaugojimas
Неизвестно,Nežinoma
Неизвестный тайтл,Nežinomas pavadinimas
Неиспользуемый тикет: ,Nenaudotas bilietas: 
Немецкий,Vokiečių
Неправильное хранилище,Netinkama saugykla
Неправильный родительский объект,Netinkamas pirminis objektas
Нет,Ne
Нет VFS. Прекращение работы,Nėra VFS. Nutraukiama
Нет exefs VFS. Прекращение работы,Nėra exefs VFS. Nutraukiama
: {:>4} сохранений,: {:>4} išsaugojimų
Нет logo VFS. Прекращение работы,Nėra logo VFS. Nutraukiama
Нет romfs VFS. Прекращение работы,Nėra romfs VFS. Nutraukiama
Нет лого,Nėra logotipo
Нечего устанавливать,Nėra ką įdiegti
Никнейм консоли         : {},Konsolės slapyvardis        : {}
Новое имя для '{}',Naujas pavadinimas '{}'
Новый каталог,Naujas katalogas
Новый размер сохранения в МБ,Naujas išsaugojimo dydis MB
Новый рейтинг (-1 для удаления),Naujas įvertinimas (-1 pašalinimui)
: {:>4} сохранения,: {:>4} išsaugojimų
Номер страницы,Puslapio numeris
Ночь,Naktis
Нужен связанный аккаунт,Reikalinga susieta paskyra
ОШИБКА ПОЛУЧЕНИЯ ЭКСТРА ДАННЫХ,KLAIDA GAUNANT PAPILDOMUS DUOMENIS
Обнаружены недопустимые символы,Aptikti netinkami simboliai
Обновить DBI,Atnaujinti DBI
Обновить DBI из этого файла,Atnaujinti DBI iš šio failo
Обновить TitleDB,Atnaujinti TitleDB
   {:>3} мин,   {:>3} min
Обновление TitleDB,TitleDB atnaujinimas
Обновление базы данных...,Atnaujinama duomenų bazė...
Обновление версии до {} {}\n\nНажмите (+) для продолжения\nЛюбую другую кнопку для отмены,Atnaujinama versija į {} {}\n\nPaspauskite (+) tęsti\nBet kurį kitą mygtuką atšaukti
Обновление времени...,Atnaujinamas laikas...
Обновление закончено\n\nНажмите любую кнопку\nдля перезапуска DBI,Atnaujinimas baigtas\n\nPaspauskite bet kurį mygtuką\nkad paleistumėte DBI iš naujo
Обновление фейковой записи {} ➡ [v{}],Atnaujinamas netikras įrašas {} ➡ [v{}]
Обновление. Пожалуйста подождите...,Atnaujinama. Prašome palaukti...
Обновляется запись об игре...,Atnaujinamas žaidimo įrašas...
Обрабатывается запись {:016X},Apdorojamas įrašas {:016X}
Обратный альбом (180°),Apverstas albumas (180°)
Обратный портрет (270°),Atvirkštinis portretas (270°)
Общее время активной игры     : {} часов,Bendras aktyvaus žaidimo laikas     : {} valandų
Общее время дампа {:d}:{:02d}:{:02d},Bendra išklotinės trukmė {:d}:{:02d}:{:02d}
Общее время запущенных игр    : {} часов,Bendras žaidimo laikas    : {} valandų
Общее время игры      : -,Bendras žaidimo laikas      : -
Общее время игры      : {:d} часов {:02d} минут,Bendras žaidimo laikas      : {:d} val. {:02d} min.
Общее время установки: {:d}:{:02d}:{:02d},Bendras diegimo laikas: {:d}:{:02d}:{:02d}
Общее время: {:02}:{:02}:{:02},Bendras laikas: {:02}:{:02}:{:02}
Общее занимаемое место: N:{} + S:{} = {},Bendra užimta vieta: N:{} + S:{} = {}
Общее число запусков  : -,Bendras paleidimų skaičius : -
Общее число игровых сессий    : {},Bendras žaidimo seansų skaičius : {}
Общие,Bendra
Общий размер передачи   :,Bendras perdavimo dydis :
Общий размер установки  :,Bendras diegimo dydis   :
Общий размер установки: {},Bendras diegimo dydis: {}
Объединение списков,Sujungti sąrašus
Объект {} не допустим,Objektas {} neleidžiamas
Объект {} не может быть создан,Objektas {} negali būti sukurtas
Объект не открыт для редактирования,Objektas nėra atidarytas redagavimui
Объект удалён,Objektas ištrintas
Bluetooth MAC адрес    : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Bluetooth MAC adresas     : {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Объект уже открыт для редактирования,Objektas jau atidarytas redagavimui
Огибка получения адреса сокета: {} {},Klaida gaunant lizdo adresą: {} {}
Ожидаемый размер: {},Tikėtinas dydis: {}
Ожидается ,Tikimasi 
Ожидается большой (>4GB) файл,Tikimasi didelio (>4GB) failo
Ожидается запуск dbibackend на стороне ПК...,Laukiama dbibackend paleidimo kompiuterio pusėje...
Ожидание включения интерфейса: ,Laukiama sąsajos įjungimo: 
Ожидание: {} секунд,Laukiama: {} sekundės
Ожидание: {} секунда,Laukiama: {} sekundė
Ожидание: {} секунды,Laukiama: {} sekundės
CDIR в листинге,CDIR sąraše
Ориентация,Orientacija
Ориентация...,Orientacija...
Освобождено места в NAND: ,Atlaisvinta NAND vietos: 
Освобождено места на SD : ,Atlaisvinta vietos SD : 
Основной SDK не найден. Пробуем мультипрограмный вариант,Pagrindinis SDK nerastas. Bandoma daugiaprogramė versija
Оставить сохранения,Palikti išsaugojimus
Осталось ходов:    {:>3},Liko ėjimų:    {:>3}
Остаток файла пропускается,Likusi failo dalis praleidžiama
Отключение связи с мобильным приложением...,Atsijungiama nuo mobiliosios programos...
Configuration Id1      : {},Configuration Id1         : {}
Открываем папку прошивки...,Atidaroma programinės įrangos aplankas...
Открыть,Atidaryti
Открыть вторую панель,Atidaryti antrą skydelį
Открыть как 7Z,Atidaryti kaip 7Z
Открыть как RAR,Atidaryti kaip RAR
Открыть как ZIP,Atidaryti kaip ZIP
Открыть как hex,Atidaryti kaip hex
Открыть как текст,Atidaryti kaip tekstą
Открыть контент по MTP,Atidaryti turinį per MTP
Открыть папку LFS,Atidaryti LFS aplanką
Content meta не найден. Установка прервана,Content meta nerastas. Diegimas nutrauktas
Отослано {}/{} байт,Išsiųsta {}/{} baitų
Отсутствуют ES сигпатчи!,Trūksta ES sigpatches!
Очистка /atmosphere/contents,Valoma /atmosphere/contents
Очистка кеша rightsId...,Valoma rightsId talpykla...
Очистка папки...,Valomas aplankas...
Очистка плейсхолдеров...,Išvalomi vietų žymekliai...
Очистка системы от мусора,Sistemos valymas nuo šiukšlių
Очистка сохранений,Išsaugojimų valymas
Очистка...,Valoma...
Ошибка FTP сервера,FTP serverio klaida
DBI Просмотр альбома,DBI Albumo peržiūra
Ошибка во время копирования файла,Klaida kopijuojant failą
Ошибка во время обновления тайтла,Klaida atnaujinant pavadinimą
Ошибка выделения сокета: {},Lizdo paskirstymo klaida: {}
Ошибка завершения соединения: {},Ryšio nutraukimo klaida: {}
Ошибка загрузки картинки,Vaizdo įkėlimo klaida
Ошибка загрузки файла из альбома: {},Klaida įkeliant failą iš albumo: {}
Ошибка закрытия сокета: {},Lizdo uždarymo klaida: {}
Ошибка записи файла: {},Failo rašymo klaida: {}
Ошибка изменения размера файла,Klaida keičiant failo dydį
Ошибка инициализации {}: {},Inicijavimo klaida {}: {}
"DPAD и стики - прокрутка, L - стр. вверх, R - стр. вниз","DPAD ir lazdelės - slinkimas, L - puslapis aukštyn, R - puslapis žemyn"
Ошибка опроса сокета: {},Lizdo apklausos klaida: {}
Ошибка открытия каталога: {},Klaida atidarant katalogą: {}
Ошибка открытия сокета: {},Lizdo atidarymo klaida: {}
Ошибка открытия файла,Klaida atidarant failą
Ошибка открытия файла '{}': {},Klaida atidarant failą '{}': {}
Ошибка открытия файла: {},Klaida atidarant failą: {}
Ошибка отсылки: {},Siuntimo klaida: {}
Ошибка переименования: {},Pervadinimo klaida: {}
Ошибка подключения: {},Prisijungimo klaida: {}
Ошибка подмены SDK: {},SDK pakeitimo klaida: {}
"DPAD и стики - прокрутка, L - стр. вверх, R - стр. вниз, R3 - Текст/Hex","DPAD ir lazdelės - slinkimas, L - pusl. aukštyn, R - pusl. žemyn, R3 - Tekstas/Hex"
Ошибка получения адреса узла: {},Klaida gaunant mazgo adresą: {}
Ошибка получения внеочередных данных: {},Klaida gaunant neeilinių duomenų: {}
Ошибка получения имени сокета: {} {},Klaida gaunant lizdo pavadinimą: {} {}
Ошибка получения информаци о файле: {},Klaida gaunant failo informaciją: {}
Ошибка получения размера файла: {},Klaida gaunant failo dydį: {}
Ошибка получения флагов сокета: {},Klaida gaunant lizdo vėliavėles: {}
Ошибка получения хранилища {},Klaida gaunant saugyklą {}
Ошибка получения: {},Gavimo klaida: {}
Ошибка получения: {} {},Gavimo klaida: {} {}
Ошибка посылки файла: {},Failo siuntimo klaida: {}
   Получение списка бекапов...   ,   Gaunamas atsarginių kopijų sąrašas...   
Ошибка привязки сокета к порту {}: {},Klaida prijungiant lizdą prie prievado {}: {}
Ошибка привязки: {},Susiejimo klaida: {}
Ошибка принятия соединения: {} {},Ryšio priėmimo klaida: {} {}
Ошибка приёма соединения: {},Ryšio priėmimo klaida: {}
Ошибка проверси метки сокета: {},Lizdo etiketės patikrinimo klaida: {}
Ошибка прослушивания: {},Klausymo klaida: {}
